headline,description,url,published_at,source_name,category,ingestion_timestamp
US warns of Iran-affiliated cyber-attacks on critical infrastructure across country,"Security agencies say municipalities should watch out for unusual activity, especially in water and energy sectors",https://www.theguardian.com/world/2026/apr/07/iran-cyberattacks-infrastructure,2026-04-07T23:21:42Z,guardian,Politics,2026-04-30T13:01:39.374260
Donald Trump says ‘a whole civilisation will die’ if Iran ignores demands,Attacks on Iran increase and Israel tells Iranians to avoid train travel as deadline to reopen strait of Hormuz looms,https://www.theguardian.com/world/2026/apr/07/israel-warns-iran-lives-at-risk-if-they-use-trains-trump-deadline,2026-04-07T21:57:24Z,guardian,Politics,2026-04-30T13:01:39.374327
Vance’s whirlwind visit may not help Orbán to the election victory he craves,"As the US vice-president wades into a heated campaign, Hungary’s leader faces the real possibility of defeat",https://www.theguardian.com/world/2026/apr/07/jd-vance-hungary-viktor-orban-election,2026-04-07T19:28:54Z,guardian,Politics,2026-04-30T13:01:39.374363
JD Vance accuses EU of ‘interference’ as he visits Hungary to help Orbán win election,US vice-president rails against ‘bureaucrats in Brussels’ interfering in Sunday’s vote during Budapest visit,https://www.theguardian.com/world/2026/apr/07/jd-vance-eu-interference-hungary-election-viktor-orban,2026-04-07T18:59:57Z,guardian,Politics,2026-04-30T13:01:39.374383
Iran calls on young people to form human chains around power plants as Trump deadline looms,President Masoud Pezeshkian says 14m people ‘declared their readiness to sacrifice their lives’ for defence of Iran,https://www.theguardian.com/world/2026/apr/07/iran-young-people-human-chains-power-plants-donald-trump-deadline-looms,2026-04-07T17:51:59Z,guardian,Politics,2026-04-30T13:01:39.374398
UK veterans ‘forced to resign’ for being gay launch legal action against MoD,Steven Stewart and Mark Shephard tell high court LGBT Financial Recognition Scheme is ‘structurally unfair’,https://www.theguardian.com/world/2026/apr/07/veterans-forced-to-resign-gay-legal-action-against-ministry-defence,2026-04-07T17:22:37Z,guardian,Politics,2026-04-30T13:01:39.374413
Will bombing Iran back to the ‘stone ages’ achieve any war objectives?,Donald Trump’s threat to target Iran’s bridges and power plants follows a similar playbook to recent conflicts,https://www.theguardian.com/world/2026/apr/07/will-bombing-iran-back-to-the-stone-ages-achieve-any-war-objectives,2026-04-07T17:14:11Z,guardian,Politics,2026-04-30T13:01:39.374424
UK government urged to act over proposed illegal Israeli settlement,"Former diplomats say ministers must threaten action against any companies bidding to build E1 settlement of 3,400 houses in West Bank",https://www.theguardian.com/world/2026/apr/07/uk-government-urged-to-act-over-proposed-israeli-settlement,2026-04-07T17:00:02Z,guardian,Politics,2026-04-30T13:01:39.374438
Britain must lead efforts to stop Israel’s annexation of the West Bank,Letter: Former ambassadors and high commissioners call on Keir Starmer to stand with European and Commonwealth partners against the unlawful occupation of Palestinian territory,https://www.theguardian.com/world/2026/apr/07/britain-must-lead-efforts-to-stop-israel-annexation-of-the-west-bank,2026-04-07T16:58:39Z,guardian,Politics,2026-04-30T13:01:39.374499
Vance accuses EU of ‘foreign interference’ in upcoming Hungarian election while endorsing Orbán – as it happened,US vice-president claims ‘the bureaucrats in Brussels have tried to destroy the economy of Hungary’,https://www.theguardian.com/world/live/2026/apr/07/jd-vance-budapest-viktor-orban-hungary-election-france-nicolas-sarkozy-denmark-coalition-russia-ukraine-europe-latest-updates-news,2026-04-07T16:58:02Z,guardian,Politics,2026-04-30T13:01:39.374515
First Nation asks court to block Alberta referendum on seceding from Canada,"Sturgeon Lake Cree Nation has asked a court to halt the separatist push, arguing it would violate their treaty rights",https://www.theguardian.com/world/2026/apr/07/first-nation-decries-alberta-separatist-push-canada,2026-04-07T16:43:13Z,guardian,Politics,2026-04-30T13:01:39.374526
What are reparations for slavery and colonialism – and will the UK pay?,"As global row intensifies, Reform UK has said it would not issue visas for people from any country seeking reparations",https://www.theguardian.com/world/2026/apr/07/reparations-slavery-colonialism-explainer-reform-uk,2026-04-07T15:01:53Z,guardian,Politics,2026-04-30T13:01:39.374539
"‘For leftist Jews, the Bund is a model’: the radical history behind one of Europe’s biggest socialist movements",A new book by Molly Crabapple documents the rise and fall of a revolutionary Jewish party that fought against Zionism and for ‘solidarity across difference’,https://www.theguardian.com/world/2026/apr/07/molly-crabapple-new-book-jewish-socialism,2026-04-07T15:00:01Z,guardian,Politics,2026-04-30T13:01:39.374550
Spanish politicians clash over request to move Picasso’s Guernica,Madrid and Basque government leaders call each other ‘provincial’ in dispute over the artwork,https://www.theguardian.com/world/2026/apr/07/spain-politician-clash-picasso-guernica,2026-04-07T14:34:30Z,guardian,Politics,2026-04-30T13:01:39.374559
Who needs looksmaxxing when you’ve got Catholicmaxxing? The TikTok trend making religion great again,"Some of the young Americans swept up in the movement are looking for the meaning of life; others for a new partner. Well, it’s a broad church …",https://www.theguardian.com/world/2026/apr/07/catholicmaxxing-catholicism--church-religion-tiktok-gen-z-influencers,2026-04-07T14:26:40Z,guardian,Politics,2026-04-30T13:01:39.374571
Row over ‘virtual gated community’ AI surveillance plan in Toronto neighbourhood,Rosedale residents considering car licence plate-scanning Flock system in bid to tackle property crime,https://www.theguardian.com/technology/2026/apr/07/toronto-rosedale-row-virtual-gated-community-ai-surveillance-flock,2026-04-07T14:07:18Z,guardian,Politics,2026-04-30T13:01:39.374581
#MeToo movement brings wave of harassment claims across Colombia,Female journalists’ accounts of harassment trigger avalanche of allegations reaching as far as government,https://www.theguardian.com/world/2026/apr/07/metoo-movement-brings-wave-of-harassment-claims-across-colombia,2026-04-07T13:22:11Z,guardian,Politics,2026-04-30T13:01:39.374593
Viktor Orbán told Putin ‘I am at your service’ in October phone call,Transcript reportedly details Hungarian leader offering whatever assistance he can to his Russian counterpart,https://www.theguardian.com/world/2026/apr/07/viktor-orban-told-putin-i-am-at-your-service-in-october-phonecall,2026-04-07T11:28:31Z,guardian,Politics,2026-04-30T13:01:39.374603
